l_bound_date,facility,common_name,parameter_type,day_or_night,min_value,percentile_5,percentile_25,median_value,average_value,percentile_75,percentile_95,max_value
2025-07-22,CC1,CEA1506,light operation,Day,100,100,100,100,100,100,100,100
2025-07-22,CC1,CEA1506,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1506,temperature,Night,22.46,22.76,22.86,22.99,23.05,23.14,23.26,26.68
2025-07-22,CC1,CEA1506,temperature,Day,24.36,26.74,27.79,27.97,27.91,28.14,28.23,30.41
2025-07-22,CC1,CEA1506,temperature target,Day,25.51,25.51,25.51,25.51,25.51,25.51,25.51,25.51
2025-07-22,CC1,CEA1506,temperature target,Night,23,23,23,23,24.24,25.49,25.49,25.49
2025-07-22,CC1,CEA1506,vapor pressure deficit,Night,0.99,1.12,1.22,1.27,1.26,1.3,1.33,1.54
2025-07-22,CC1,CEA1506,vapor pressure deficit,Day,1.48,1.67,1.73,1.76,1.78,1.8,1.88,2.23
2025-07-22,CC1,CEA1506,vent required,Day,9,21.7,22.4,24.8,25.89,29.45,37.65,44.65
2025-07-22,CC1,CEA1506,vent required,Night,15.43,15.65,17.23,20.82,21.61,24.77,26.85,46.25
2025-07-22,CC1,CEA1902,CO2 sensor,Night,2963,2963,2963,2963,2963,2963,2963,2963
2025-07-22,CC1,CEA1902,heating required,Day,23.85,23.85,45.9,98.7,80.46,98.95,99.8,99.8
2025-07-22,CC1,CEA1902,heating required,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1902,humidity,Day,49.95,50.75,52.1,53.2,54.32,55.9,59.5,64.85
2025-07-22,CC1,CEA1902,humidity,Night,54.35,61.1,67.1,67.3,67.05,67.6,69.95,70.4
2025-07-22,CC1,CEA1902,humidity target,Night,50,50,50,50,50,50,50,50
2025-07-22,CC1,CEA1902,indoor PAR light,Day,649,649.5,650.5,650.5,652.42,651.5,652,694.5
2025-07-22,CC1,CEA1902,indoor PAR light,Night,13,13,13,13,152.5,292,292,292
